"parent","ent_id","level_3"
entity,domain specific entity,""
IS economics,public good,IS topic
outsourcing,business process outsourcing,IS topic
crowdsourcing,citizen science,IS topic
IT security,IT risk management,IS topic
IT security,IT security category,IS topic
internet fraud,identity theft,IS topic
IT security category,cyberterrorism,IS topic
phishing,SMS phishing,IS topic
network security attack,spoofing,IS topic
network security attack,sniffer,IS topic
spamming,email spam,IS topic
malware,ransomware,IS topic
malware,computer virus,IS topic
malware,spyware,IS topic
IT security defense,organizational IT security defense,IS topic
technical IT security defense,computer virus protection,IS topic
technical IT security defense,malware protection,IS topic
access control,eXtensible Access Control Markup Language,IS topic
access control,identity management,IS topic
physical electronic authorization device,smart card,IS topic
data encryption,symmetric-key encryption,IS topic
IT security defense,information security effectiveness,IS topic
IT security,privacy,IS topic
data protection,pseudonymity,IS topic
EU data protection law,Data Protection Directive,IS topic
information privacy law,California Consumer Privacy Act,IS topic
business process redesign,business process improvement,IS topic
business process management,business process automation,IS topic
enterprise architecture,enterprise architecture framework,IS topic
emergency management,anthropogenic hazard,IS topic
anthropogenic hazard,terrorist incident,IS topic
financial law,Dodd–Frank Wall Street Reform and Consumer Protection Act,IS topic
financial law,Basel Accords,IS topic
marketing management,price management,IS topic
marketing management,public relations function,IS topic
business function,business service function,IS topic
business topic,operational management,IS topic
strategic management,strategic performance management,IS topic
product differentiation,vertical differentiation,IS topic
product differentiation,horizontal differentiation,IS topic
business topic,organization structure,IS topic
individual characteristic,user attitude,IS topic
individual characteristic,personality,IS topic
task characteristic,task complexity,IS topic
task complexity,task programmability,IS topic
remote work,virtual teamwork,IS topic
types of work,co-located work,IS topic
IS evaluation method,cost benefit analysis,IS topic
IS evaluation method,software metric,IS topic
data quality,data integrity,IS topic
internet addiction,social media addiction,IS topic
ease of use,usability,IS topic
IS success,organizational success,IS topic
user evaluation criteria,productivity,IS topic
organizational productivity,financial performance,IS topic
IT productivity,IT productivity paradox,IS topic
IS topic,knowledge management,IS topic
knowledge management,boundary spanning,IS topic
knowledge management,knowledge type,IS topic
digital economy,datafication,IS topic
digital business model,data-driven business model,IS topic
digital transformation,digital disruption,IS topic
digital business,digital innovation,IS topic
digital business,digital entrepreneurship,IS topic
digital platform,sharing platform,IS topic
real estate sharing platform,Vrbo,IS topic
sharing platform,ride sharing platform,IS topic
ride sharing platform,ridesharing company,IS topic
digital product,digital good,IS topic
gamification,forcasting market,IS topic
IS topic,human computer interaction,IS topic
human computer interaction,media richness,IS topic
user interface,voice user interfaces,IS topic
IT project management,IT project management method,IS topic
IT project,IS project selection,IS topic
system support,service desk,IS topic
IT service management,ITSM standard,IS topic
ITSM standard,ISO/IEC 20000,IS topic
systems development,systems development effort,IS topic
low code development platform,no code development platform,IS topic
agile software development,pair programming,IS topic
systems development,systems evaluation,IS topic
IT planning,IT policy,IS topic
IT centralization-decentralization,IT decentralization,IS topic
open source,open source community,IS topic
IS education,IS curriculum,IS topic
IT workforce,IT job,IS topic
IT workforce,IT skill,IS topic
IT skill,soft skill,IS topic
IT skill,IT professionalism,IS topic
IT workforce,IT personell turnover,IS topic
IS researcher production,information systems researcher production,IS topic
research paradigm,realism,research paradigm
realism,critical realism,research paradigm
research paradigm,anti positivism,research paradigm
research paradigm,social subjectivist paradigm,research paradigm
standpoint epistemology,decolonial epistemology,research paradigm
IT ethics,AI ethics,research paradigm
model,research model,model
theoretical model,reference theory,model
research model,moderation model,model
model,nomological network,model
construct,reflective construct,model
model element,variable,model
Europe,western europe,geographic names
western europe,France,geographic names
Germany,Bremen,geographic names
Austria,Burgenland,geographic names
Austria,Upper Austria,geographic names
Austria,Styria,geographic names
Switzerland,Vaud,geographic names
Eastern Europe,Poland,geographic names
Eastern Europe,Czech Republic,geographic names
Eastern Europe,Russia,geographic names
Denmark,Faroe Islands,geographic names
Baltic countries,Lithuania,geographic names
southeastern europe,north Macedonia,geographic names
southeastern europe,Bosnia and Herzegovina,geographic names
southeastern europe,Montenegro,geographic names
asia,west asia,geographic names
west asia,Israel,geographic names
southeast asia,Viet Nam,geographic names
southeast asia,Myanmar,geographic names
South Asia,Maldives,geographic names
South Asia,Nepal,geographic names
Africa,East Africa,geographic names
East Africa,Eritrea,geographic names
East Africa,Kenya,geographic names
East Africa,Comoros,geographic names
East Africa,Mozambique,geographic names
North Africa,Maghreb,geographic names
Southern Africa,eSwatini,geographic names
Africa,West Africa,geographic names
America,Latin America,geographic names
Central America,Haiti,geographic names
Central America,Cuba,geographic names
Central America,Panama,geographic names
Central America,St. Lucia,geographic names
North America,United States,geographic names
United States,Florida,geographic names
Michigan,Detroit,geographic names
America,South America,geographic names
South America,Bolivia,geographic names
South America,Amazon region,geographic names
Australia,New South Wales,geographic names
Oceania,Tonga,geographic names
Oceania,Palau,geographic names
Oceania,Niue,geographic names
country category,developing country,geographic names
country category,developed country,geographic names
government,law enforcement,economic sector
chemical industry,biotechnology industry,economic sector
commercial vehicle industry,truck industry,economic sector
vehicle industry,railway technology,economic sector
manufacturing industry,textile and clothing industry,economic sector
textile and clothing industry,clothing industry,economic sector
textile and clothing industry,textiles market,economic sector
ICT industry,telecommunications industry,economic sector
ICT industry,IT service provider,economic sector
