"ent_id","definition","label","parent","level","related","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9","level_10"
research method,A research method is a systematic plan for conducting research,"",methodological entity,3.0,,entity,methodological entity,research method,"","","","","","",""
conceptual method,A conceptual method refers to a systematic approach used in research that primarily focuses on abstract ideas and theories rather than empirical data or physical evidence.,CONCEPTUAL_METHOD,research method,4.0,,entity,methodological entity,research method,conceptual method,"","","","","",""
literature study,"A literature study is a systematic and comprehensive analysis and interpretation of available scholarly publications, documents, and other relevant sources on a specific topic to establish facts and reach new conclusions.",CONCEPTUAL_METHOD,conceptual method,5.0,,entity,methodological entity,research method,conceptual method,literature study,"","","","",""
structured literature research,"Structured literature research is a methodical approach to studying existing literature on a specific topic, where data is collected, evaluated, and interpreted in a systematic and organized manner to generate comprehensive and reliable findings.",CONCEPTUAL_METHOD,literature study,6.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,"","","",""
literature sample,A literature sample refers to a specific piece of scholarly work selected for analysis and review within the broader context of structured literature research.,CONCEPTUAL_METHOD,structured literature research,7.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature sample,"","",""
literature filtering,Literature filtering refers to the systematic process of selecting relevant and high-quality sources from a larger literature sample based on specific criteria or research objectives.,CONCEPTUAL_METHOD,literature sample,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature sample,literature filtering,"",""
technology supported literature review,"A technology supported literature review is a systematic approach to literature research that leverages digital tools and technologies to facilitate the identification, analysis, and synthesis of scholarly publications and resources.",CONCEPTUAL_METHOD,structured literature research,7.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,technology supported literature review,"","",""
bibliometric software,"Bibliometric software is a specialized computational tool used for the quantitative analysis and statistics of publications, such as books, articles, and other bibliographic materials, to measure their impact and influence within a specific field or body of literature.",CONCEPTUAL_METHOD,structured literature research,7.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,bibliometric software,"","",""
VOSviewer,"VOSviewer is a software tool designed for constructing and visualizing bibliometric networks such as those of authors, journals, or individual research papers based on co-citation, co-authorship, or keyword co-occurrence.",CONCEPTUAL_METHOD,bibliometric software,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,bibliometric software,VOSviewer,"",""
literature database,"A literature database is a systematically organized collection of scholarly articles, books, and other academic resources that facilitates structured literature research by providing comprehensive, searchable, and accessible information.",CONCEPTUAL_METHOD,structured literature research,7.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,"","",""
Scopus database,"The Scopus database is a comprehensive, multidisciplinary literature database that provides abstracts and citation information for academic journal articles, conference papers, patents, and other scholarly literature from a wide range of subjects worldwide.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,Scopus database,"",""
Google scholar,Google Scholar is a freely accessible web search engine that indexes the full text or metadata of scholarly literature across an array of publishing formats and disciplines.,CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,Google scholar,"",""
EBSCO,"EBSCO is a comprehensive, versatile literature database that provides a wide range of scholarly, full-text articles and other resources for research and information retrieval.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,EBSCO,"",""
ProQuest,"ProQuest is a comprehensive literature database that provides access to a wide range of academic resources, including journals, dissertations, theses, and newspapers from various disciplines.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,ProQuest,"",""
WorldCat,"WorldCat is a global networked library catalog that aggregates data from thousands of libraries worldwide, providing bibliographic and location information for books, journals, multimedia materials, and other items in their collections.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,WorldCat,"",""
IEEE Xplore,"IEEE Xplore is a comprehensive, online literature database that provides access to high-quality technical literature in electrical engineering, computer science, and electronics from the Institute of Electrical and Electronics Engineers and the Institution of Engineering and Technology.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,IEEE Xplore,"",""
ACM digital library,"The ACM Digital Library is a comprehensive collection of research papers and literature in the field of computing, published by the Association for Computing Machinery.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,ACM digital library,"",""
DBLP,"DBLP is a computer science bibliography website that indexes research publications, providing a comprehensive and searchable archive of bibliographic metadata.",CONCEPTUAL_METHOD,literature database,8.0,,entity,methodological entity,research method,conceptual method,literature study,structured literature research,literature database,DBLP,"",""
